date,sku_id,style,size,city,channel_id,units_sold,gross_sales_inr,discount_pct
2026-02-02,ZUR-GRY-39,Zurich,39,Jaipur,MYN,1,8990,0
2026-02-02,MIL-BRN-43,Milano,43,Delhi NCR,NYK,1,8490,15
2026-02-02,ARZ-BLK-42,Arizona,42,Mumbai,AMZ,3,20970,5
2026-02-02,GIZ-BLK-37,Gizeh,37,Chennai,STORE,4,23960,0
2026-02-02,MAD-BRN-45,Madrid,45,Hyderabad,MYN,1,5490,10
2026-02-02,GIZ-BLK-46,Gizeh,46,Lucknow,AMZ,1,5990,5
2026-02-02,MAY-WHT-38,Mayari,38,Jaipur,STORE,1,7490,0
2026-02-02,ARZ-MOC-40,Arizona,40,Jaipur,STORE,4,27960,0
2026-02-02,ARZ-BLK-43,Arizona,43,Chandigarh,STORE,4,27960,0
2026-02-02,ARZ-MOC-45,Arizona,45,Chennai,STORE,4,27960,5
2026-02-02,BST-BLK-45,Boston,45,Lucknow,STORE,2,19980,0
2026-02-02,BST-TAU-41,Boston,41,Delhi NCR,STORE,1,9990,5
2026-02-02,ARZ-MOC-37,Arizona,37,Lucknow,STORE,2,13980,0
2026-02-02,MAY-WHT-45,Mayari,45,Lucknow,D2C,2,14980,10
2026-02-02,BST-TAU-36,Boston,36,Ahmedabad,D2C,2,19980,5
2026-02-02,EVA-BLK-37,Arizona EVA,37,Mumbai,D2C,1,4490,0
2026-02-02,GIZ-BLK-45,Gizeh,45,Chandigarh,STORE,4,23960,0
2026-02-02,BST-BLK-43,Boston,43,Mumbai,AMZ,3,29970,0
2026-02-02,EVA-BLK-42,Arizona EVA,42,Jaipur,D2C,3,13470,5
2026-02-02,ARZ-BLK-40,Arizona,40,Chandigarh,STORE,1,6990,0
2026-02-02,MAY-WHT-42,Mayari,42,Mumbai,STORE,1,7490,10
2026-02-02,BST-BLK-44,Boston,44,Hyderabad,STORE,3,29970,0
2026-02-02,EVA-BLK-39,Arizona EVA,39,Lucknow,D2C,3,13470,15
2026-02-03,MAD-BRN-38,Madrid,38,Goa,MYN,1,5490,15
2026-02-03,ZUR-GRY-38,Zurich,38,Chandigarh,D2C,1,8990,0
2026-02-03,ARZ-BLK-37,Arizona,37,Mumbai,NYK,2,13980,5
2026-02-03,BST-TAU-37,Boston,37,Ahmedabad,STORE,2,19980,5
2026-02-03,GIZ-BLK-41,Gizeh,41,Jaipur,MYN,2,11980,0
2026-02-03,ZUR-GRY-44,Zurich,44,Hyderabad,D2C,2,17980,5
2026-02-03,GIZ-BLK-40,Gizeh,40,Ahmedabad,STORE,2,11980,0
2026-02-03,BST-TAU-45,Boston,45,Delhi NCR,D2C,1,9990,5
2026-02-03,ARZ-MOC-46,Arizona,46,Bengaluru,STORE,1,6990,0
2026-02-03,ARZ-BLK-36,Arizona,36,Hyderabad,NYK,4,27960,0
2026-02-03,ARZ-MOC-40,Arizona,40,Pune,STORE,2,13980,0
2026-02-03,GIZ-BLK-36,Gizeh,36,Pune,STORE,2,11980,0
2026-02-03,BST-BLK-42,Boston,42,Goa,STORE,3,29970,0
2026-02-03,MAY-WHT-41,Mayari,41,Lucknow,MYN,2,14980,0
2026-02-03,ARZ-BLK-46,Arizona,46,Bengaluru,D2C,1,6990,5
2026-02-03,EVA-BLK-40,Arizona EVA,40,Kochi,NYK,1,4490,5
2026-02-03,BST-TAU-42,Boston,42,Ahmedabad,NYK,1,9990,0
2026-02-03,ZUR-GRY-36,Zurich,36,Chandigarh,MYN,2,17980,0
2026-02-03,ARZ-MOC-38,Arizona,38,Goa,STORE,3,20970,0
2026-02-03,ARZ-BLK-45,Arizona,45,Lucknow,STORE,1,6990,5
2026-02-03,EVA-BLK-37,Arizona EVA,37,Chandigarh,STORE,1,4490,10
2026-02-03,ARZ-BLK-43,Arizona,43,Pune,D2C,3,20970,5
2026-02-03,BST-BLK-46,Boston,46,Kolkata,STORE,3,29970,0
2026-02-03,EVA-BLK-45,Arizona EVA,45,Hyderabad,MYN,2,8980,10
2026-02-04,BST-BLK-41,Boston,41,Jaipur,AMZ,2,19980,0
2026-02-04,MIL-BRN-38,Milano,38,Ahmedabad,STORE,2,16980,0
2026-02-04,BST-BLK-38,Boston,38,Ahmedabad,D2C,5,49950,0
2026-02-04,ZUR-GRY-46,Zurich,46,Kochi,NYK,2,17980,10
2026-02-04,BST-BLK-44,Boston,44,Hyderabad,NYK,3,29970,5
2026-02-04,ARZ-BLK-42,Arizona,42,Kochi,MYN,2,13980,0
2026-02-04,ARZ-BLK-45,Arizona,45,Kochi,AMZ,2,13980,0
2026-02-04,BST-BLK-43,Boston,43,Bengaluru,STORE,2,19980,0
2026-02-04,ZUR-GRY-40,Zurich,40,Pune,STORE,2,17980,0
2026-02-04,MAD-BRN-41,Madrid,41,Pune,STORE,2,10980,10
2026-02-04,MAY-WHT-37,Mayari,37,Hyderabad,STORE,1,7490,0
2026-02-04,MIL-BRN-40,Milano,40,Pune,STORE,1,8490,0
2026-02-04,EVA-BLK-40,Arizona EVA,40,Hyderabad,NYK,1,4490,5
2026-02-04,GIZ-BLK-43,Gizeh,43,Hyderabad,STORE,3,17970,0
2026-02-04,BST-TAU-38,Boston,38,Jaipur,STORE,4,39960,5
2026-02-04,MAY-WHT-38,Mayari,38,Kolkata,STORE,1,7490,0
2026-02-04,ARZ-BLK-36,Arizona,36,Lucknow,STORE,2,13980,0
2026-02-04,ZUR-GRY-38,Zurich,38,Bengaluru,MYN,1,8990,5
2026-02-04,BST-TAU-39,Boston,39,Bengaluru,MYN,2,19980,0
2026-02-04,ARZ-MOC-46,Arizona,46,Chandigarh,STORE,2,13980,0
2026-02-04,BST-BLK-37,Boston,37,Ahmedabad,STORE,4,39960,5
2026-02-04,ARZ-MOC-43,Arizona,43,Chandigarh,STORE,3,20970,0
2026-02-04,MAD-BRN-40,Madrid,40,Chandigarh,STORE,1,5490,10
2026-02-05,MAY-WHT-46,Mayari,46,Mumbai,STORE,2,14980,15
2026-02-05,MIL-BRN-40,Milano,40,Chennai,MYN,3,25470,15
2026-02-05,BST-BLK-40,Boston,40,Hyderabad,MYN,2,19980,0
2026-02-05,GIZ-BLK-42,Gizeh,42,Mumbai,D2C,1,5990,0
2026-02-05,MAD-BRN-40,Madrid,40,Kolkata,STORE,1,5490,0
2026-02-05,BST-TAU-41,Boston,41,Pune,STORE,2,19980,0
2026-02-05,EVA-BLK-41,Arizona EVA,41,Ahmedabad,D2C,1,4490,5
2026-02-05,BST-TAU-40,Boston,40,Bengaluru,STORE,2,19980,0
2026-02-05,ARZ-BLK-45,Arizona,45,Lucknow,STORE,2,13980,0
2026-02-05,EVA-BLK-37,Arizona EVA,37,Chandigarh,STORE,3,13470,5
2026-02-05,BST-TAU-39,Boston,39,Goa,STORE,3,29970,0
2026-02-05,BST-TAU-45,Boston,45,Bengaluru,MYN,3,29970,5
2026-02-05,ARZ-BLK-38,Arizona,38,Mumbai,D2C,1,6990,0
2026-02-05,EVA-BLK-42,Arizona EVA,42,Lucknow,D2C,2,8980,15
2026-02-05,GIZ-BLK-41,Gizeh,41,Kolkata,NYK,3,17970,0
2026-02-05,ARZ-BLK-41,Arizona,41,Mumbai,STORE,3,20970,0
2026-02-05,ARZ-MOC-38,Arizona,38,Chandigarh,STORE,2,13980,0
2026-02-05,MAD-BRN-41,Madrid,41,Bengaluru,NYK,2,10980,5
2026-02-05,ARZ-MOC-45,Arizona,45,Pune,STORE,3,20970,0
2026-02-05,ZUR-GRY-45,Zurich,45,Hyderabad,MYN,3,26970,10
2026-02-05,ARZ-MOC-44,Arizona,44,Hyderabad,STORE,2,13980,0
2026-02-05,ARZ-BLK-37,Arizona,37,Delhi NCR,D2C,3,20970,0
2026-02-05,BST-TAU-44,Boston,44,Jaipur,STORE,2,19980,0
2026-02-05,BST-BLK-42,Boston,42,Mumbai,MYN,2,19980,5
2026-02-05,MIL-BRN-36,Milano,36,Pune,STORE,1,8490,0
2026-02-06,MIL-BRN-43,Milano,43,Mumbai,STORE,2,16980,0
2026-02-06,BST-TAU-39,Boston,39,Delhi NCR,MYN,1,9990,0
2026-02-06,EVA-BLK-36,Arizona EVA,36,Chandigarh,STORE,2,8980,10
2026-02-06,ARZ-MOC-40,Arizona,40,Kolkata,STORE,2,13980,0
2026-02-06,ZUR-GRY-45,Zurich,45,Goa,STORE,1,8990,15
2026-02-06,ARZ-BLK-46,Arizona,46,Jaipur,STORE,3,20970,0
2026-02-06,BST-TAU-46,Boston,46,Hyderabad,MYN,2,19980,0
2026-02-06,MAD-BRN-39,Madrid,39,Pune,STORE,1,5490,10
2026-02-06,BST-BLK-43,Boston,43,Chennai,STORE,2,19980,0
2026-02-06,GIZ-BLK-37,Gizeh,37,Ahmedabad,D2C,2,11980,5
2026-02-06,EVA-BLK-39,Arizona EVA,39,Jaipur,STORE,2,8980,15
2026-02-06,ZUR-GRY-42,Zurich,42,Chandigarh,MYN,1,8990,0
2026-02-06,ARZ-BLK-44,Arizona,44,Mumbai,STORE,2,13980,0
2026-02-06,ARZ-MOC-46,Arizona,46,Delhi NCR,STORE,1,6990,0
2026-02-06,MAY-WHT-42,Mayari,42,Jaipur,D2C,1,7490,10
2026-02-06,MAY-WHT-40,Mayari,40,Pune,MYN,1,7490,0
2026-02-06,ZUR-GRY-36,Zurich,36,Lucknow,STORE,1,8990,5
2026-02-06,BST-BLK-40,Boston,40,Delhi NCR,D2C,1,9990,0
2026-02-06,MAY-WHT-44,Mayari,44,Ahmedabad,STORE,2,14980,5
2026-02-06,BST-TAU-36,Boston,36,Chennai,STORE,3,29970,0
2026-02-06,ARZ-BLK-36,Arizona,36,Ahmedabad,STORE,1,6990,0
2026-02-06,BST-TAU-37,Boston,37,Goa,STORE,2,19980,0
2026-02-06,MAD-BRN-45,Madrid,45,Chandigarh,D2C,2,10980,10
2026-02-06,ZUR-GRY-39,Zurich,39,Goa,STORE,2,17980,15
2026-02-06,ARZ-BLK-45,Arizona,45,Ahmedabad,MYN,2,13980,0
2026-02-07,BST-TAU-42,Boston,42,Chennai,STORE,3,29970,0
2026-02-07,GIZ-BLK-42,Gizeh,42,Mumbai,STORE,4,23960,5
2026-02-07,GIZ-BLK-40,Gizeh,40,Kochi,D2C,2,11980,0
2026-02-07,ZUR-GRY-41,Zurich,41,Goa,NYK,1,8990,5
2026-02-07,ARZ-BLK-43,Arizona,43,Chandigarh,STORE,2,13980,0
2026-02-07,ZUR-GRY-46,Zurich,46,Kolkata,STORE,1,8990,5
2026-02-07,BST-BLK-40,Boston,40,Chandigarh,STORE,2,19980,5
2026-02-07,EVA-BLK-38,Arizona EVA,38,Delhi NCR,STORE,2,8980,0
2026-02-07,MAD-BRN-41,Madrid,41,Ahmedabad,STORE,1,5490,10
2026-02-07,BST-BLK-36,Boston,36,Hyderabad,MYN,4,39960,0
2026-02-07,ARZ-MOC-43,Arizona,43,Hyderabad,D2C,1,6990,0
2026-02-07,ARZ-BLK-36,Arizona,36,Goa,D2C,3,20970,5
2026-02-07,MAY-WHT-41,Mayari,41,Pune,STORE,1,7490,10
2026-02-07,MAY-WHT-39,Mayari,39,Goa,MYN,2,14980,0
2026-02-07,ZUR-GRY-45,Zurich,45,Delhi NCR,STORE,2,17980,15
2026-02-07,BST-TAU-38,Boston,38,Chennai,STORE,2,19980,0
2026-02-07,MAD-BRN-36,Madrid,36,Chennai,D2C,2,10980,5
2026-02-07,MAY-WHT-36,Mayari,36,Ahmedabad,STORE,4,29960,10
2026-02-07,MAY-WHT-46,Mayari,46,Jaipur,STORE,3,22470,0
2026-02-07,BST-TAU-40,Boston,40,Jaipur,STORE,3,29970,0
2026-02-07,MAD-BRN-45,Madrid,45,Pune,D2C,2,10980,5
2026-02-07,MIL-BRN-40,Milano,40,Delhi NCR,MYN,1,8490,0
2026-02-07,ARZ-MOC-44,Arizona,44,Lucknow,STORE,3,20970,0
2026-02-07,GIZ-BLK-37,Gizeh,37,Hyderabad,NYK,3,17970,0
2026-02-07,ARZ-MOC-41,Arizona,41,Chandigarh,NYK,3,20970,0
2026-02-07,MAY-WHT-38,Mayari,38,Chandigarh,MYN,1,7490,0
2026-02-07,MAY-WHT-44,Mayari,44,Chennai,MYN,1,7490,0
2026-02-07,BST-BLK-39,Boston,39,Chennai,NYK,5,49950,0
2026-02-07,EVA-BLK-43,Arizona EVA,43,Kochi,STORE,2,8980,15
2026-02-08,MAD-BRN-45,Madrid,45,Goa,STORE,2,10980,0
2026-02-08,MIL-BRN-43,Milano,43,Kolkata,STORE,1,8490,5
2026-02-08,EVA-BLK-38,Arizona EVA,38,Goa,STORE,2,8980,0
2026-02-08,EVA-BLK-45,Arizona EVA,45,Lucknow,MYN,1,4490,10
2026-02-08,EVA-BLK-42,Arizona EVA,42,Pune,NYK,2,8980,15
2026-02-08,EVA-BLK-39,Arizona EVA,39,Jaipur,STORE,3,13470,5
2026-02-08,ARZ-BLK-44,Arizona,44,Mumbai,D2C,2,13980,0
2026-02-08,MIL-BRN-45,Milano,45,Lucknow,AMZ,3,25470,0
2026-02-08,ZUR-GRY-40,Zurich,40,Pune,STORE,1,8990,0
2026-02-08,GIZ-BLK-46,Gizeh,46,Hyderabad,STORE,2,11980,0
2026-02-08,MAY-WHT-43,Mayari,43,Hyderabad,STORE,1,7490,5
2026-02-08,MAY-WHT-45,Mayari,45,Mumbai,STORE,3,22470,0
2026-02-08,ARZ-MOC-37,Arizona,37,Kolkata,MYN,3,20970,0
2026-02-08,GIZ-BLK-41,Gizeh,41,Chennai,D2C,2,11980,0
2026-02-08,BST-BLK-43,Boston,43,Mumbai,STORE,3,29970,0
2026-02-08,EVA-BLK-43,Arizona EVA,43,Pune,STORE,1,4490,0
2026-02-08,MAD-BRN-40,Madrid,40,Hyderabad,MYN,2,10980,5
2026-02-08,BST-TAU-37,Boston,37,Chennai,AMZ,3,29970,0
2026-02-08,BST-TAU-43,Boston,43,Ahmedabad,MYN,2,19980,0
2026-02-08,GIZ-BLK-44,Gizeh,44,Chandigarh,D2C,2,11980,0
2026-02-08,BST-TAU-45,Boston,45,Goa,D2C,2,19980,0
2026-02-08,BST-BLK-42,Boston,42,Bengaluru,STORE,2,19980,0
2026-02-08,EVA-BLK-44,Arizona EVA,44,Goa,STORE,3,13470,10
2026-02-08,ARZ-MOC-40,Arizona,40,Goa,D2C,3,20970,0
2026-02-08,ARZ-BLK-40,Arizona,40,Delhi NCR,MYN,2,13980,0
2026-02-08,BST-BLK-36,Boston,36,Kochi,STORE,2,19980,0
2026-02-08,MAY-WHT-38,Mayari,38,Chennai,STORE,3,22470,5
2026-02-08,BST-BLK-45,Boston,45,Chandigarh,D2C,2,19980,0
2026-02-08,MAD-BRN-37,Madrid,37,Lucknow,STORE,2,10980,15
2026-02-08,MAY-WHT-41,Mayari,41,Pune,STORE,2,14980,10
2026-02-09,ZUR-GRY-43,Zurich,43,Mumbai,STORE,1,8990,15
2026-02-09,ZUR-GRY-37,Zurich,37,Kolkata,MYN,2,17980,5
2026-02-09,ARZ-MOC-43,Arizona,43,Pune,STORE,2,13980,0
2026-02-09,GIZ-BLK-37,Gizeh,37,Bengaluru,NYK,2,11980,5
2026-02-09,ZUR-GRY-39,Zurich,39,Hyderabad,D2C,1,8990,0
2026-02-09,MAY-WHT-45,Mayari,45,Mumbai,STORE,1,7490,15
2026-02-09,ARZ-BLK-43,Arizona,43,Ahmedabad,STORE,1,6990,5
2026-02-09,EVA-BLK-38,Arizona EVA,38,Mumbai,D2C,1,4490,0
2026-02-09,MAD-BRN-36,Madrid,36,Ahmedabad,NYK,2,10980,5
2026-02-09,ZUR-GRY-36,Zurich,36,Ahmedabad,STORE,2,17980,5
2026-02-09,MAD-BRN-44,Madrid,44,Mumbai,STORE,1,5490,0
2026-02-09,MAD-BRN-39,Madrid,39,Chennai,STORE,3,16470,0
2026-02-09,ARZ-MOC-40,Arizona,40,Jaipur,STORE,3,20970,5
2026-02-09,MAY-WHT-41,Mayari,41,Chennai,AMZ,1,7490,0
2026-02-09,BST-BLK-44,Boston,44,Kolkata,STORE,4,39960,0
2026-02-09,BST-TAU-38,Boston,38,Kolkata,MYN,4,39960,0
2026-02-09,EVA-BLK-41,Arizona EVA,41,Lucknow,STORE,1,4490,10
2026-02-09,GIZ-BLK-43,Gizeh,43,Mumbai,STORE,3,17970,0
2026-02-09,ARZ-BLK-36,Arizona,36,Mumbai,D2C,2,13980,0
2026-02-09,MIL-BRN-40,Milano,40,Kolkata,NYK,1,8490,10
2026-02-09,ARZ-MOC-38,Arizona,38,Ahmedabad,STORE,3,20970,0
2026-02-09,BST-TAU-42,Boston,42,Ahmedabad,STORE,3,29970,0
2026-02-09,ARZ-BLK-38,Arizona,38,Pune,STORE,2,13980,0
2026-02-09,BST-TAU-46,Boston,46,Chennai,STORE,3,29970,0
2026-02-09,EVA-BLK-39,Arizona EVA,39,Jaipur,STORE,1,4490,0
2026-02-09,ARZ-MOC-45,Arizona,45,Hyderabad,D2C,4,27960,0
2026-02-09,GIZ-BLK-36,Gizeh,36,Delhi NCR,STORE,2,11980,0
2026-02-09,GIZ-BLK-40,Gizeh,40,Pune,D2C,5,29950,5
2026-02-09,EVA-BLK-42,Arizona EVA,42,Mumbai,AMZ,2,8980,5
2026-02-10,BST-TAU-37,Boston,37,Chennai,STORE,2,19980,0
2026-02-10,ARZ-MOC-39,Arizona,39,Kochi,STORE,4,27960,5
2026-02-10,GIZ-BLK-40,Gizeh,40,Bengaluru,AMZ,2,11980,0
2026-02-10,EVA-BLK-36,Arizona EVA,36,Kolkata,STORE,2,8980,5
2026-02-10,MAY-WHT-41,Mayari,41,Delhi NCR,STORE,1,7490,5
2026-02-10,MIL-BRN-42,Milano,42,Delhi NCR,MYN,2,16980,0
2026-02-10,EVA-BLK-38,Arizona EVA,38,Jaipur,STORE,3,13470,0
2026-02-10,GIZ-BLK-41,Gizeh,41,Bengaluru,STORE,3,17970,0
2026-02-10,BST-BLK-40,Boston,40,Kochi,MYN,4,39960,5
2026-02-10,GIZ-BLK-37,Gizeh,37,Lucknow,STORE,6,35940,0
2026-02-10,BST-BLK-45,Boston,45,Goa,STORE,4,39960,0
2026-02-10,GIZ-BLK-39,Gizeh,39,Chennai,STORE,3,17970,0
2026-02-10,ARZ-MOC-42,Arizona,42,Delhi NCR,STORE,3,20970,0
2026-02-10,GIZ-BLK-44,Gizeh,44,Kochi,STORE,3,17970,0
2026-02-10,EVA-BLK-44,Arizona EVA,44,Kochi,STORE,2,8980,15
2026-02-10,BST-BLK-43,Boston,43,Lucknow,STORE,2,19980,0
2026-02-10,ARZ-MOC-40,Arizona,40,Chandigarh,D2C,2,13980,0
2026-02-10,ARZ-BLK-39,Arizona,39,Jaipur,D2C,4,27960,0
2026-02-10,EVA-BLK-39,Arizona EVA,39,Mumbai,MYN,2,8980,10
2026-02-10,ARZ-BLK-37,Arizona,37,Jaipur,NYK,2,13980,0
2026-02-10,GIZ-BLK-36,Gizeh,36,Chandigarh,D2C,1,5990,0
2026-02-10,GIZ-BLK-38,Gizeh,38,Kochi,STORE,2,11980,5
2026-02-10,MAD-BRN-44,Madrid,44,Hyderabad,STORE,1,5490,0
2026-02-10,EVA-BLK-41,Arizona EVA,41,Jaipur,D2C,2,8980,0
2026-02-10,ARZ-MOC-45,Arizona,45,Pune,MYN,3,20970,5
2026-02-11,BST-TAU-38,Boston,38,Goa,STORE,2,19980,0
2026-02-11,BST-TAU-41,Boston,41,Lucknow,STORE,2,19980,0
2026-02-11,BST-BLK-39,Boston,39,Kolkata,AMZ,3,29970,0
2026-02-11,ARZ-BLK-39,Arizona,39,Goa,D2C,2,13980,0
2026-02-11,BST-BLK-46,Boston,46,Kolkata,MYN,1,9990,0
2026-02-11,ARZ-BLK-40,Arizona,40,Ahmedabad,MYN,2,13980,5
2026-02-11,MAY-WHT-40,Mayari,40,Kochi,MYN,2,14980,10
2026-02-11,ARZ-MOC-39,Arizona,39,Kolkata,STORE,1,6990,5
2026-02-11,ZUR-GRY-36,Zurich,36,Bengaluru,STORE,1,8990,0
2026-02-11,ZUR-GRY-40,Zurich,40,Goa,STORE,3,26970,5
2026-02-11,ARZ-BLK-42,Arizona,42,Lucknow,STORE,2,13980,0
2026-02-11,GIZ-BLK-40,Gizeh,40,Chandigarh,D2C,2,11980,5
2026-02-11,ZUR-GRY-38,Zurich,38,Jaipur,STORE,2,17980,0
2026-02-11,ZUR-GRY-44,Zurich,44,Kolkata,STORE,1,8990,0
2026-02-11,MIL-BRN-41,Milano,41,Kolkata,STORE,2,16980,15
2026-02-11,MAY-WHT-36,Mayari,36,Goa,AMZ,1,7490,0
2026-02-11,MIL-BRN-43,Milano,43,Hyderabad,MYN,1,8490,0
2026-02-11,MAD-BRN-36,Madrid,36,Mumbai,STORE,1,5490,0
2026-02-11,MAY-WHT-45,Mayari,45,Chennai,NYK,3,22470,5
2026-02-11,MIL-BRN-46,Milano,46,Kolkata,STORE,1,8490,0
2026-02-11,EVA-BLK-40,Arizona EVA,40,Kolkata,STORE,2,8980,0
2026-02-11,MIL-BRN-40,Milano,40,Kochi,STORE,3,25470,0
2026-02-11,BST-TAU-37,Boston,37,Pune,STORE,4,39960,0
2026-02-11,ARZ-MOC-38,Arizona,38,Chandigarh,STORE,4,27960,0
2026-02-11,BST-TAU-44,Boston,44,Chennai,NYK,3,29970,0
2026-02-11,ARZ-BLK-44,Arizona,44,Lucknow,MYN,2,13980,0
2026-02-11,ARZ-MOC-37,Arizona,37,Bengaluru,D2C,1,6990,5
2026-02-11,GIZ-BLK-44,Gizeh,44,Chandigarh,NYK,3,17970,0
2026-02-12,MAY-WHT-45,Mayari,45,Chandigarh,STORE,1,7490,0
2026-02-12,ARZ-BLK-37,Arizona,37,Ahmedabad,MYN,3,20970,0
2026-02-12,MIL-BRN-37,Milano,37,Kochi,NYK,1,8490,10
2026-02-12,GIZ-BLK-41,Gizeh,41,Mumbai,STORE,2,11980,0
2026-02-12,GIZ-BLK-39,Gizeh,39,Ahmedabad,STORE,4,23960,5
2026-02-12,GIZ-BLK-40,Gizeh,40,Chennai,STORE,2,11980,0
2026-02-12,BST-TAU-39,Boston,39,Chennai,STORE,1,9990,0
2026-02-12,EVA-BLK-45,Arizona EVA,45,Lucknow,STORE,3,13470,15
2026-02-12,EVA-BLK-40,Arizona EVA,40,Chennai,D2C,2,8980,10
2026-02-12,MIL-BRN-44,Milano,44,Delhi NCR,STORE,2,16980,15
2026-02-12,MAY-WHT-46,Mayari,46,Goa,STORE,4,29960,10
2026-02-12,GIZ-BLK-45,Gizeh,45,Kolkata,MYN,2,11980,5
2026-02-12,EVA-BLK-43,Arizona EVA,43,Ahmedabad,STORE,1,4490,15
2026-02-12,ZUR-GRY-36,Zurich,36,Bengaluru,MYN,1,8990,15
2026-02-12,ARZ-MOC-45,Arizona,45,Mumbai,STORE,2,13980,5
2026-02-12,ARZ-MOC-42,Arizona,42,Hyderabad,STORE,2,13980,5
2026-02-12,BST-TAU-44,Boston,44,Bengaluru,STORE,4,39960,0
2026-02-12,MAY-WHT-38,Mayari,38,Jaipur,MYN,1,7490,15
2026-02-12,ZUR-GRY-39,Zurich,39,Hyderabad,STORE,4,35960,0
2026-02-12,ARZ-BLK-46,Arizona,46,Bengaluru,STORE,1,6990,5
2026-02-12,EVA-BLK-36,Arizona EVA,36,Hyderabad,AMZ,2,8980,0
2026-02-12,MAD-BRN-41,Madrid,41,Kochi,STORE,2,10980,5
2026-02-12,BST-BLK-46,Boston,46,Kochi,STORE,1,9990,0
2026-02-12,BST-TAU-43,Boston,43,Mumbai,STORE,3,29970,0
2026-02-12,BST-TAU-46,Boston,46,Lucknow,MYN,1,9990,0
2026-02-12,ARZ-MOC-40,Arizona,40,Delhi NCR,AMZ,2,13980,0
2026-02-13,MAY-WHT-37,Mayari,37,Ahmedabad,MYN,2,14980,15
2026-02-13,BST-BLK-42,Boston,42,Goa,MYN,3,29970,5
2026-02-13,MAD-BRN-36,Madrid,36,Bengaluru,STORE,1,5490,0
2026-02-13,ARZ-BLK-40,Arizona,40,Bengaluru,AMZ,4,27960,0
2026-02-13,BST-TAU-43,Boston,43,Chennai,STORE,3,29970,0
2026-02-13,GIZ-BLK-40,Gizeh,40,Kolkata,D2C,1,5990,0
2026-02-13,BST-TAU-38,Boston,38,Chandigarh,AMZ,3,29970,5
2026-02-13,EVA-BLK-46,Arizona EVA,46,Chandigarh,MYN,1,4490,0
2026-02-13,EVA-BLK-42,Arizona EVA,42,Hyderabad,MYN,2,8980,0
2026-02-13,MAY-WHT-44,Mayari,44,Jaipur,D2C,1,7490,10
2026-02-13,GIZ-BLK-42,Gizeh,42,Bengaluru,D2C,1,5990,0
2026-02-13,MAY-WHT-38,Mayari,38,Hyderabad,AMZ,2,14980,0
2026-02-13,BST-BLK-41,Boston,41,Kochi,D2C,1,9990,0
2026-02-13,BST-TAU-36,Boston,36,Chennai,MYN,1,9990,0
2026-02-13,ARZ-BLK-38,Arizona,38,Lucknow,STORE,2,13980,0
2026-02-13,MIL-BRN-44,Milano,44,Goa,STORE,1,8490,0
2026-02-13,BST-BLK-39,Boston,39,Mumbai,STORE,2,19980,0
2026-02-13,MAD-BRN-40,Madrid,40,Mumbai,MYN,2,10980,10
2026-02-13,BST-BLK-45,Boston,45,Kolkata,D2C,3,29970,5
2026-02-13,MIL-BRN-39,Milano,39,Mumbai,STORE,1,8490,0
2026-02-13,MAY-WHT-45,Mayari,45,Jaipur,STORE,2,14980,0
2026-02-13,MAY-WHT-41,Mayari,41,Jaipur,MYN,1,7490,5
2026-02-13,BST-TAU-45,Boston,45,Ahmedabad,STORE,1,9990,0
2026-02-13,GIZ-BLK-39,Gizeh,39,Lucknow,STORE,3,17970,0
